driverId,driver_name,skill_score,adjusted_talent_score,talent_score,uncertainty_penalty,mean_residual,std_residual,bad_rate,elite_rate,peak_residual,speed_score,peak_score,elite_score,consistency_score,error_score,confidence,confidence_label,races
838,Stoffel Vandoorne,-32.088235294117645,32.088235294117645,42.588235294117645,10.5,0.03762524,0.6436531,0.05,0.025,-0.5527253448963165,42.35294117647059,29.411764705882355,27.058823529411764,61.1764705882353,48.23529411764706,0.25,LOW,40
41,Ricardo Zonta,-29.089592760181,29.089592760181,39.858823529411765,10.769230769230768,0.2175881,2.127176,0.05555555555555555,0.08333333333333333,-0.6627509295940399,35.294117647058826,42.35294117647059,57.647058823529406,36.470588235294116,42.35294117647059,0.23076923076923078,LOW,36
65,Johnny Herbert,-27.643438914027147,27.643438914027147,36.258823529411764,8.615384615384617,0.34417048,2.1466124,0.12,0.06666666666666667,-0.8046429991722107,31.76470588235294,48.23529411764706,40.0,41.17647058823529,23.52941176470588,0.38461538461538464,LOW,75
63,Mika Salo,-27.57013574660633,27.57013574660633,35.647058823529406,8.076923076923077,0.41222,2.9478164,0.10227272727272728,0.10227272727272728,-0.8430970013141631,27.058823529411764,51.76470588235295,63.52941176470588,25.882352941176475,32.94117647058823,0.4230769230769231,LOW,88
154,Romain Grosjean,-25.460784313725487,25.460784313725487,31.29411764705882,5.833333333333333,0.39169097,3.474361,0.06547619047619048,0.07738095238095238,-0.7323842525482178,24.705882352941178,31.76470588235294,41.17647058823529,17.647058823529413,65.88235294117646,0.5833333333333334,LOW,168
811,Bruno Senna,-25.073744619799143,25.073744619799143,35.31764705882353,10.24390243902439,0.59553266,2.321651,0.2727272727272727,0.11363636363636363,-1.0582068622112275,23.52941176470588,67.05882352941175,65.88235294117646,30.58823529411765,10.588235294117647,0.2682926829268293,LOW,44
79,Ukyo Katayama,-24.780054538371648,24.780054538371648,35.905882352941184,11.125827814569536,0.47063932,1.1921844,0.2903225806451613,0.06451612903225806,-0.7770271301269531,29.411764705882355,49.411764705882355,54.11764705882353,43.529411764705884,11.76470588235294,0.2052980132450331,LOW,31
855,Guanyu Zhou,-24.31016042780748,24.31016042780748,33.29411764705882,8.983957219251337,0.3042179,3.0778916,0.08955223880597014,0.04477611940298507,-0.7195672392845154,34.11764705882353,41.17647058823529,25.882352941176475,24.705882352941178,37.64705882352941,0.3582887700534759,LOW,67
819,Charles Pic,-24.163374028856822,24.163374028856822,34.72941176470588,10.566037735849058,0.35580406,0.74790895,0.15384615384615385,0.02564102564102564,-0.5514247417449951,32.94117647058823,30.58823529411765,28.235294117647058,56.470588235294116,20.0,0.24528301886792453,LOW,39
24,Vitantonio Liuzzi,-22.61470588235294,22.61470588235294,31.36470588235294,8.75,1.0033758,5.82858,0.25,0.18055555555555555,-1.2860917806625365,10.588235294117647,85.88235294117646,83.52941176470588,11.76470588235294,8.235294117647058,0.375,LOW,72
